gene	dominant_allele	protein_id	locus_tag	gene_id	product	go_ids	go_process	go_function	go_component
Strep_C12713	Strep_C12713A0	WP_086747047.1	OHU10_RS13120	OHU10_RS13120	FAD binding domain-containing protein	GO:0050660;GO:1990204		flavin adenine dinucleotide binding|0050660||IEA	oxidoreductase complex|1990204||IEA
Strep_C12719	Strep_C12719A0	WP_319121185.1	OHU10_RS31575	OHU10_RS31575	spermidine synthase	GO:0004766;GO:1904047		spermidine synthase activity|0004766||IEA|S-adenosyl-L-methionine binding|1904047||IEA	
Strep_C12722	Strep_C12722A0	WP_328836711.1	OHU10_RS15010	OHU10_RS15010	diaminopimelate epimerase	GO:0008837;GO:0009089	lysine biosynthetic process via diaminopimelate|0009089||IEA	diaminopimelate epimerase activity|0008837||IEA	
Strep_C12739	Strep_C12739A2	WP_003974781.1	SC_RS23135	SC_RS23135	winged helix-turn-helix domain-containing protein	GO:0003677;GO:0003700;GO:0006355	regulation of DNA-templated transcription|0006355||IEA	DNA binding|0003677||IEA|DNA-binding transcription factor activity|0003700||IEA	
Strep_C12767	Strep_C12767A0	WP_319691014.1	OHU10_RS14875	OHU10_RS14875	FadR/GntR family transcriptional regulator	GO:0003677;GO:0003700		DNA binding|0003677||IEA|DNA-binding transcription factor activity|0003700||IEA	
Strep_C12771	Strep_C12771A0	WP_328838250.1	OHU10_RS26350	OHU10_RS26350	RNA polymerase sigma factor SigF				
Strep_C12787	Strep_C12787A3	WP_003977503.1	SC_RS08595	SC_RS08595	undecaprenyl-diphosphate phosphatase	GO:0016020;GO:0016311;GO:0050380	dephosphorylation|0016311||IEA	undecaprenyl-diphosphatase activity|0050380||IEA	membrane|0016020||IEA
Strep_C12793	Strep_C12793A3	WP_003974242.1	SC_RS25815	SC_RS25815	tRNA pseudouridine(38-40) synthase TruA	GO:0001522;GO:0003723;GO:0009451;GO:0009982	pseudouridine synthesis|0001522||IEA|RNA modification|0009451||IEA	RNA binding|0003723||IEA|pseudouridine synthase activity|0009982||IEA	
Strep_C12798	Strep_C12798A2	WP_003974993.1	SC_RS21890	SC_RS21890	HAD family hydrolase	GO:0016787		hydrolase activity|0016787||IEA	
Strep_C1280	Strep_C1280A3	WP_037666873.1	SC_RS07075	SC_RS07075	right-handed parallel beta-helix repeat-containing protein				
Strep_C12800	Strep_C12800A3	WP_003976427.1	SC_RS13915	SC_RS13915	DUF4429 domain-containing protein				
Strep_C12807	Strep_C12807A0	WP_328842151.1	OHU10_RS19465	OHU10_RS19465	biotin--[acetyl-CoA-carboxylase] ligase	GO:0004077;GO:0036211	protein modification process|0036211||IEA	biotin--[biotin carboxyl-carrier protein] ligase activity|0004077||IEA	
Strep_C12808	Strep_C12808A0	WP_328840291.1	OHU10_RS40895	OHU10_RS40895	DUF881 domain-containing protein	GO:0005886			plasma membrane|0005886||IEA
Strep_C12846	Strep_C12846A2	WP_003976536.1	SC_RS13410	SC_RS13410	iron uptake transporter permease EfeU	GO:0005381;GO:0033573;GO:0034755	iron ion transmembrane transport|0034755||IEA	iron ion transmembrane transporter activity|0005381||IEA	high-affinity iron permease complex|0033573||IEA
Strep_C12851	Strep_C12851A0	WP_328840430.1	OHU10_RS41860	OHU10_RS41860	phosphatidylinositol-specific phospholipase C/glycerophosphodiester phosphodiesterase family protein				
Strep_C12874	Strep_C12874A0	WP_046702519.1	OHU10_RS40755	OHU10_RS40755	hypothetical protein				
Strep_C12918	Strep_C12918A3	WP_016327143.1	SC_RS27000	SC_RS27000	mycothiol conjugate amidase Mca	GO:0010126	mycothiol metabolic process|0010126||IEA		
Strep_C1294	Strep_C1294A0	WP_328838164.1	OHU10_RS25775	OHU10_RS25775	murein biosynthesis integral membrane protein MurJ	GO:0009252;GO:0034204	peptidoglycan biosynthetic process|0009252||IEA|lipid translocation|0034204||IEA		
Strep_C12942	Strep_C12942A0	WP_328835652.1	OHU10_RS07430	OHU10_RS07430	ABC transporter ATP-binding protein	GO:0005524;GO:0016887;GO:0042626;GO:0140359;GO:0140657		ATP binding|0005524||IEA|ATP hydrolysis activity|0016887||IEA|ATPase-coupled transmembrane transporter activity|0042626||IEA|ABC-type transporter activity|0140359||IEA|ATP-dependent activity|0140657||IEA	
Strep_C12950	Strep_C12950A0	WP_037689675.1	OHU10_RS25690	OHU10_RS25690	phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)	GO:0006098;GO:0016616	pentose-phosphate shunt|0006098||IEA	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor|0016616||IEA	
Strep_C12951	Strep_C12951A4	WP_179201732.1	CVT30_RS08855	CVT30_RS08855	carbohydrate ABC transporter permease	GO:0008643;GO:0055085	carbohydrate transport|0008643||IEA|transmembrane transport|0055085||IEA		
Strep_C12966	Strep_C12966A4	WP_033531861.1	CVT30_RS25160	CVT30_RS25160	helix-turn-helix domain-containing protein	GO:0003677		DNA binding|0003677||IEA	
Strep_C13012	Strep_C13012A0	WP_328839824.1	OHU10_RS37200	OHU10_RS37200	MHYT domain-containing protein	GO:0007165	signal transduction|0007165||IEA		
Strep_C13019	Strep_C13019A0	WP_046707572.1	OHU10_RS41365	OHU10_RS41365	alpha/beta fold hydrolase				
Strep_C13064	Strep_C13064A0	WP_328840625.1	OHU10_RS43075	OHU10_RS43075	acyl-CoA thioesterase	GO:0016790		thiolester hydrolase activity|0016790||IEA	
Strep_C13088	Strep_C13088A3	WP_003976556.1	SC_RS13305	SC_RS13305	3-methyl-2-oxobutanoate hydroxymethyltransferase	GO:0003864;GO:0015940	pantothenate biosynthetic process|0015940||IEA	3-methyl-2-oxobutanoate hydroxymethyltransferase activity|0003864||IEA	
Strep_C1309	Strep_C1309A0	WP_328837068.1	OHU10_RS17755	OHU10_RS17755	endopeptidase La	GO:0004252;GO:0005524;GO:0006508;GO:0016887	proteolysis|0006508||IEA	serine-type endopeptidase activity|0004252||IEA|ATP binding|0005524||IEA|ATP hydrolysis activity|0016887||IEA	
Strep_C13098	Strep_C13098A3	WP_003977387.1	SC_RS09165	SC_RS09165	ATP phosphoribosyltransferase	GO:0000105;GO:0003879;GO:0005737	L-histidine biosynthetic process|0000105||IEA	ATP phosphoribosyltransferase activity|0003879||IEA	cytoplasm|0005737||IEA
Strep_C1310	Strep_C1310A0	WP_328836091.1	OHU10_RS10745	OHU10_RS10745	Tex family protein	GO:0003676;GO:0003729;GO:0005829		nucleic acid binding|0003676||IEA|mRNA binding|0003729||IEA	cytosol|0005829||IEA
Strep_C13124	Strep_C13124A0	WP_319689570.1	OHU10_RS07930	OHU10_RS07930	universal stress protein				
Strep_C13136	Strep_C13136A0	WP_328840269.1	OHU10_RS40720	OHU10_RS40720	5-oxoprolinase subunit C family protein	GO:0005524;GO:0016787		ATP binding|0005524||IEA|hydrolase activity|0016787||IEA	
Strep_C13138	Strep_C13138A3	WP_003977589.1	SC_RS08165	SC_RS08165	helix-turn-helix domain-containing protein	GO:0003677		DNA binding|0003677||IEA	
Strep_C13151	Strep_C13151A3	WP_011027946.1	SC_RS10685	SC_RS10685	esterase/lipase family protein	GO:0016042;GO:0016787	lipid catabolic process|0016042||IEA	hydrolase activity|0016787||IEA	
Strep_C13160	Strep_C13160A0	WP_328836202.1	OHU10_RS11520	OHU10_RS11520	TatD family hydrolase				
Strep_C13218	Strep_C13218A0	WP_037698833.1	OHU10_RS10100	OHU10_RS10100	Fpg/Nei family DNA glycosylase	GO:0003684;GO:0003906;GO:0006281;GO:0006284;GO:0008270;GO:0008534;GO:0140078	DNA repair|0006281||IEA|base-excision repair|0006284||IEA	damaged DNA binding|0003684||IEA|DNA-(apurinic or apyrimidinic site) endonuclease activity|0003906||IEA|zinc ion binding|0008270||IEA|oxidized purine nucleobase lesion DNA N-glycosylase activity|0008534||IEA|class I DNA-(apurinic or apyrimidinic site) endonuclease activity|0140078||IEA	
Strep_C1322	Strep_C1322A0	WP_328836516.1	OHU10_RS13595	OHU10_RS13595	malto-oligosyltrehalose synthase	GO:0005992;GO:0047470	trehalose biosynthetic process|0005992||IEA	(1,4)-alpha-D-glucan 1-alpha-D-glucosylmutase activity|0047470||IEA	
Strep_C13225	Strep_C13225A0	WP_328840102.1	OHU10_RS39320	OHU10_RS39320	SCO1664 family protein				
Strep_C13227	Strep_C13227A2	WP_003973604.1	SC_RS29140	SC_RS29140	ABC transporter permease subunit	GO:0055085;GO:0140359	transmembrane transport|0055085||IEA	ABC-type transporter activity|0140359||IEA	
Strep_C1326	Strep_C1326A2	WP_016325246.1	SC_RS05765	SC_RS05765	SpoIIE family protein phosphatase	GO:0004722;GO:0005515;GO:0005524;GO:0006470;GO:0046872	protein dephosphorylation|0006470||IEA	protein serine/threonine phosphatase activity|0004722||IEA|protein binding|0005515||IEA|ATP binding|0005524||IEA|metal ion binding|0046872||IEA	
Strep_C13288	Strep_C13288A0	WP_328838179.1	OHU10_RS25885	OHU10_RS25885	GNAT family N-acetyltransferase	GO:0008080		N-acetyltransferase activity|0008080||IEA	
Strep_C13290	Strep_C13290A2	WP_003976100.1	SC_RS15585	SC_RS15585	tyrosinase family protein	GO:0016491		oxidoreductase activity|0016491||IEA	
Strep_C1330	Strep_C1330A0	WP_328837053.1	OHU10_RS17650	OHU10_RS17650	excinuclease ABC subunit UvrA				
Strep_C13316	Strep_C13316A0	WP_328836512.1	OHU10_RS13570	OHU10_RS13570	phosphotransferase enzyme family protein	GO:0005524;GO:0016301;GO:0016310	phosphorylation|0016310||IEA	ATP binding|0005524||IEA|kinase activity|0016301||IEA	
Strep_C13326	Strep_C13326A2	WP_003973273.1	SC_RS30985	SC_RS30985	helix-turn-helix domain-containing protein	GO:0003677		DNA binding|0003677||IEA	
Strep_C1333	Strep_C1333A0	WP_328836891.1	OHU10_RS16500	OHU10_RS16500	putative bifunctional diguanylate cyclase/phosphodiesterase	GO:0005525;GO:0005886;GO:0046872;GO:0052621;GO:0071111		GTP binding|0005525||IEA|metal ion binding|0046872||IEA|diguanylate cyclase activity|0052621||IEA|cyclic-guanylate-specific phosphodiesterase activity|0071111||IEA	plasma membrane|0005886||IEA
Strep_C1334	Strep_C1334A0	WP_328837719.1	OHU10_RS22715	OHU10_RS22715	sodium-translocating pyrophosphatase				
Strep_C13365	Strep_C13365A5	WP_003972442.1	SC_RS34880	SC_RS34880	helix-turn-helix domain-containing protein	GO:0003677		DNA binding|0003677||IEA	
Strep_C13370	Strep_C13370A3	WP_003974338.1	SC_RS25200	SC_RS25200	zinc metalloprotease HtpX	GO:0004222;GO:0006508	proteolysis|0006508||IEA	metalloendopeptidase activity|0004222||IEA	
Strep_C13386	Strep_C13386A0	WP_037694339.1	OHU10_RS20020	OHU10_RS20020	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	GO:0004488		methylenetetrahydrofolate dehydrogenase (NADP+) activity|0004488||IEA	
Strep_C13387	Strep_C13387A3	WP_003975412.1	SC_RS19230	SC_RS19230	helix-turn-helix domain-containing protein	GO:0003677		DNA binding|0003677||IEA	
Strep_C13403	Strep_C13403A0	WP_328842309.1	OHU10_RS32045	OHU10_RS32045	sugar phosphate isomerase/epimerase family protein	GO:0003824;GO:0016853		catalytic activity|0003824||IEA|isomerase activity|0016853||IEA	
Strep_C13431	Strep_C13431A3	WP_003973422.1	SC_RS30080	SC_RS30080	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	GO:0003676;GO:0003684;GO:0003906;GO:0006281;GO:0006284;GO:0008270;GO:0008534;GO:0016799;GO:0019104	DNA repair|0006281||IEA|base-excision repair|0006284||IEA	nucleic acid binding|0003676||IEA|damaged DNA binding|0003684||IEA|DNA-(apurinic or apyrimidinic site) endonuclease activity|0003906||IEA|zinc ion binding|0008270||IEA|oxidized purine nucleobase lesion DNA N-glycosylase activity|0008534||IEA|hydrolase activity, hydrolyzing N-glycosyl compounds|0016799||IEA|DNA N-glycosylase activity|0019104||IEA	
Strep_C13439	Strep_C13439A3	WP_016327205.1	SC_RS27865	SC_RS27865	dihydropteroate synthase	GO:0004156;GO:0009396	folic acid-containing compound biosynthetic process|0009396||IEA	dihydropteroate synthase activity|0004156||IEA	
Strep_C13465	Strep_C13465A2	WP_003975663.1	SC_RS17875	SC_RS17875	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	GO:0000451;GO:0008649;GO:0008757	rRNA 2'-O-methylation|0000451||IEA	rRNA methyltransferase activity|0008649||IEA|S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA	
Strep_C13466	Strep_C13466A0	WP_413254440.1	OHU10_RS16585	OHU10_RS16585	thioesterase family protein	GO:0016787		hydrolase activity|0016787||IEA	
Strep_C13476	Strep_C13476A0	WP_319767446.1	OHU10_RS31840	OHU10_RS31840	endonuclease I family protein				
Strep_C13484	Strep_C13484A3	WP_003976755.1	SC_RS12340	SC_RS12340	ABC transporter permease	GO:0016020;GO:0042626;GO:0043190;GO:0055085;GO:0140359	transmembrane transport|0055085||IEA	ATPase-coupled transmembrane transporter activity|0042626||IEA|ABC-type transporter activity|0140359||IEA	membrane|0016020||IEA|ATP-binding cassette (ABC) transporter complex|0043190||IEA
Strep_C13504	Strep_C13504A3	WP_003976546.1	SC_RS13355	SC_RS13355	type I methionyl aminopeptidase	GO:0006508;GO:0070006	proteolysis|0006508||IEA	metalloaminopeptidase activity|0070006||IEA	
Strep_C13510	Strep_C13510A3	WP_003974261.1	SC_RS25700	SC_RS25700	30S ribosomal protein S3	GO:0003735;GO:0006412	translation|0006412||IEA	structural constituent of ribosome|0003735||IEA	
Strep_C13523	Strep_C13523A3	WP_003972302.1	SC_RS35650	SC_RS35650	phosphatase PAP2 family protein	GO:0008610	lipid biosynthetic process|0008610||IEA		
Strep_C13529	Strep_C13529A3	WP_003974967.1	SC_RS22020	SC_RS22020	glycerophosphodiester phosphodiesterase				
Strep_C13541	Strep_C13541A0	WP_328837521.1	OHU10_RS21305	OHU10_RS21305	NADH-quinone oxidoreductase subunit J	GO:0008137		NADH dehydrogenase (ubiquinone) activity|0008137||IEA	
Strep_C13543	Strep_C13543A3	WP_003975487.1	SC_RS18855	SC_RS18855	sugar phosphate isomerase/epimerase family protein	GO:0003824;GO:0016853		catalytic activity|0003824||IEA|isomerase activity|0016853||IEA	
Strep_C13550	Strep_C13550A2	WP_003974882.1	SC_RS22585	SC_RS22585	hypothetical protein				
Strep_C13559	Strep_C13559A2	WP_003974898.1	SC_RS22500	SC_RS22500	ABC transporter permease	GO:0016020;GO:0042626;GO:0043190;GO:0055085;GO:0140359	transmembrane transport|0055085||IEA	ATPase-coupled transmembrane transporter activity|0042626||IEA|ABC-type transporter activity|0140359||IEA	membrane|0016020||IEA|ATP-binding cassette (ABC) transporter complex|0043190||IEA
Strep_C13563	Strep_C13563A0	WP_328836234.1	OHU10_RS11720	OHU10_RS11720	helix-turn-helix domain-containing protein	GO:0003677;GO:0003700;GO:0006355	regulation of DNA-templated transcription|0006355||IEA	DNA binding|0003677||IEA|DNA-binding transcription factor activity|0003700||IEA	
Strep_C1357	Strep_C1357A0	WP_328835277.1	OHU10_RS04990	OHU10_RS04990	phosphoketolase family protein	GO:0005975;GO:0016832;GO:0030976	carbohydrate metabolic process|0005975||IEA	aldehyde-lyase activity|0016832||IEA|thiamine pyrophosphate binding|0030976||IEA	
Strep_C13573	Strep_C13573A0	WP_328836180.1	OHU10_RS11390	OHU10_RS11390	CDP-alcohol phosphatidyltransferase family protein	GO:0000287;GO:0008654;GO:0016020;GO:0016780	phospholipid biosynthetic process|0008654||IEA	magnesium ion binding|0000287||IEA|phosphotransferase activity, for other substituted phosphate groups|0016780||IEA	membrane|0016020||IEA
Strep_C13579	Strep_C13579A3	WP_030873433.1	SC_RS30700	SC_RS30700	GNAT family N-acetyltransferase	GO:0008080		N-acetyltransferase activity|0008080||IEA	
Strep_C13584	Strep_C13584A2	WP_003974354.1	SC_RS25120	SC_RS25120	SDR family oxidoreductase	GO:0016655		oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor|0016655||IEA	
Strep_C13595	Strep_C13595A0	WP_328840219.1	OHU10_RS40300	OHU10_RS40300	shikimate dehydrogenase	GO:0004764		shikimate 3-dehydrogenase (NADP+) activity|0004764||IEA	
Strep_C13598	Strep_C13598A3	WP_016325793.1	SC_RS09380	SC_RS09380	orotidine-5'-phosphate decarboxylase	GO:0004590;GO:0006221	pyrimidine nucleotide biosynthetic process|0006221||IEA	orotidine-5'-phosphate decarboxylase activity|0004590||IEA	
Strep_C13602	Strep_C13602A3	WP_003977577.1	SC_RS08225	SC_RS08225	SGNH/GDSL hydrolase family protein	GO:0016788		hydrolase activity, acting on ester bonds|0016788||IEA	
Strep_C1362	Strep_C1362A0	WP_328840285.1	OHU10_RS40835	OHU10_RS40835	glycoside hydrolase family 31 protein	GO:0004553;GO:0005975	carbohydrate metabolic process|0005975||IEA	hydrolase activity, hydrolyzing O-glycosyl compounds|0004553||IEA	
Strep_C13637	Strep_C13637A0	WP_328836730.1	OHU10_RS15115	OHU10_RS15115	glutamate ABC transporter substrate-binding protein				
Strep_C1365	Strep_C1365A0	WP_328839241.1	OHU10_RS33020	OHU10_RS33020	penicillin-binding protein 2	GO:0003824;GO:0008658;GO:0009252;GO:0016020	peptidoglycan biosynthetic process|0009252||IEA	catalytic activity|0003824||IEA|penicillin binding|0008658||IEA	membrane|0016020||IEA
Strep_C1366	Strep_C1366A0	WP_328838288.1	OHU10_RS26715	OHU10_RS26715	DEAD/DEAH box helicase	GO:0003676;GO:0005524;GO:0016887		nucleic acid binding|0003676||IEA|ATP binding|0005524||IEA|ATP hydrolysis activity|0016887||IEA	
Strep_C13667	Strep_C13667A0	WP_328840300.1	OHU10_RS40955	OHU10_RS40955	PhzF family phenazine biosynthesis protein	GO:0005737;GO:0009058;GO:0016853	biosynthetic process|0009058||IEA	isomerase activity|0016853||IEA	cytoplasm|0005737||IEA
Strep_C13674	Strep_C13674A2	WP_003976936.1	SC_RS11450	SC_RS11450	DUF6807 domain-containing protein				
Strep_C13679	Strep_C13679A0	WP_328836680.1	OHU10_RS14745	OHU10_RS14745	sulfurtransferase	GO:0000098;GO:0016783	sulfur amino acid catabolic process|0000098||IEA	sulfurtransferase activity|0016783||IEA	
Strep_C13685	Strep_C13685A3	WP_003972721.1	SC_RS33280	SC_RS33280	TIM barrel protein				
Strep_C1369	Strep_C1369A0	WP_328842245.1	OHU10_RS27115	OHU10_RS27115	RNA degradosome polyphosphate kinase	GO:0006799;GO:0008976;GO:0009358	polyphosphate biosynthetic process|0006799||IEA	polyphosphate kinase activity|0008976||IEA	polyphosphate kinase complex|0009358||IEA
Strep_C1372	Strep_C1372A0	WP_328840915.1	OHU10_RS44800	OHU10_RS44800	1,4-alpha-glucan branching enzyme	GO:0003844;GO:0005978	glycogen biosynthetic process|0005978||IEA	1,4-alpha-glucan branching enzyme activity|0003844||IEA	
Strep_C13720	Strep_C13720A3	WP_003976293.1	SC_RS14595	SC_RS14595	isoprenyl transferase	GO:0016765		transferase activity, transferring alkyl or aryl (other than methyl) groups|0016765||IEA	
Strep_C13725	Strep_C13725A0	WP_179200918.1	OHU10_RS25535	OHU10_RS25535	DUF881 domain-containing protein	GO:0005886			plasma membrane|0005886||IEA
Strep_C13749	Strep_C13749A0	WP_327346861.1	OHU10_RS39735	OHU10_RS39735	TrmH family RNA methyltransferase	GO:0003723;GO:0006396;GO:0008173;GO:0032259;GO:1904047	RNA processing|0006396||IEA|methylation|0032259||IEA	RNA binding|0003723||IEA|RNA methyltransferase activity|0008173||IEA|S-adenosyl-L-methionine binding|1904047||IEA	
Strep_C13754	Strep_C13754A3	WP_003972533.1	SC_RS34420	SC_RS34420	inositol monophosphatase family protein				
Strep_C13759	Strep_C13759A3	WP_003976234.1	SC_RS14895	SC_RS14895	DegV family protein	GO:0008289		lipid binding|0008289||IEA	
Strep_C13762	Strep_C13762A3	WP_003975377.1	SC_RS19930	SC_RS19930	Fic family protein	GO:0005524;GO:0018117	protein adenylylation|0018117||IEA	ATP binding|0005524||IEA	
Strep_C13777	Strep_C13777A0	WP_328835824.1	OHU10_RS08710	OHU10_RS08710	pentapeptide repeat-containing protein				
Strep_C13787	Strep_C13787A0	WP_328839671.1	OHU10_RS35965	OHU10_RS35965	endo alpha-1,4 polygalactosaminidase	GO:0016798		hydrolase activity, acting on glycosyl bonds|0016798||IEA	
Strep_C13816	Strep_C13816A3	WP_003973636.1	SC_RS28985	SC_RS28985	peptide chain release factor N(5)-glutamine methyltransferase	GO:0006412;GO:0008757;GO:0018364	translation|0006412||IEA|peptidyl-glutamine methylation|0018364||IEA	S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA	
Strep_C13818	Strep_C13818A3	WP_003977182.1	SC_RS10230	SC_RS10230	proteasome subunit beta	GO:0004298;GO:0005839;GO:0010498	proteasomal protein catabolic process|0010498||IEA	threonine-type endopeptidase activity|0004298||IEA	proteasome core complex|0005839||IEA
Strep_C1382	Strep_C1382A0	WP_328838873.1	OHU10_RS30630	OHU10_RS30630	glycosyltransferase				
Strep_C13842	Strep_C13842A3	WP_003972504.1	SC_RS34565	SC_RS34565	TetR family transcriptional regulator	GO:0003677		DNA binding|0003677||IEA	
Strep_C13848	Strep_C13848A3	WP_003974806.1	SC_RS23010	SC_RS23010	sulfurtransferase	GO:0000098;GO:0016783	sulfur amino acid catabolic process|0000098||IEA	sulfurtransferase activity|0016783||IEA	
Strep_C13854	Strep_C13854A3	WP_003977316.1	SC_RS09525	SC_RS09525	peptidylprolyl isomerase	GO:0000413;GO:0003755	protein peptidyl-prolyl isomerization|0000413||IEA	peptidyl-prolyl cis-trans isomerase activity|0003755||IEA	
Strep_C13890	Strep_C13890A5	WP_003972565.1	SC_RS34265	SC_RS34265	nitrilase-related carbon-nitrogen hydrolase	GO:0008152	metabolic process|0008152||IEA		
Strep_C13908	Strep_C13908A3	WP_003977267.1	SC_RS09800	SC_RS09800	MetQ/NlpA family ABC transporter substrate-binding protein	GO:0005886;GO:0042626;GO:0140359		ATPase-coupled transmembrane transporter activity|0042626||IEA|ABC-type transporter activity|0140359||IEA	plasma membrane|0005886||IEA
Strep_C13930	Strep_C13930A3	WP_003973389.1	SC_RS30330	SC_RS30330	RNA polymerase sigma factor WhiG	GO:0003677;GO:0003700;GO:0003899;GO:0006352;GO:0016987	DNA-templated transcription initiation|0006352||IEA	DNA binding|0003677||IEA|DNA-binding transcription factor activity|0003700||IEA|DNA-directed RNA polymerase activity|0003899||IEA|sigma factor activity|0016987||IEA	
Strep_C13932	Strep_C13932A3	WP_003975364.1	SC_RS19995	SC_RS19995	MBL fold metallo-hydrolase	GO:0016787;GO:0046872		hydrolase activity|0016787||IEA|metal ion binding|0046872||IEA	
Strep_C13935	Strep_C13935A0	WP_328839230.1	OHU10_RS32915	OHU10_RS32915	Fpg/Nei family DNA glycosylase	GO:0003684;GO:0003906;GO:0006281;GO:0006284;GO:0008270;GO:0008534;GO:0140078	DNA repair|0006281||IEA|base-excision repair|0006284||IEA	damaged DNA binding|0003684||IEA|DNA-(apurinic or apyrimidinic site) endonuclease activity|0003906||IEA|zinc ion binding|0008270||IEA|oxidized purine nucleobase lesion DNA N-glycosylase activity|0008534||IEA|class I DNA-(apurinic or apyrimidinic site) endonuclease activity|0140078||IEA	
Strep_C13946	Strep_C13946A3	WP_003978338.1	SC_RS04540	SC_RS04540	SAM-dependent methyltransferase				
Strep_C13968	Strep_C13968A0	WP_051947726.1	OHU10_RS19445	OHU10_RS19445	enoyl-CoA hydratase/isomerase family protein	GO:0016829		lyase activity|0016829||IEA	
Strep_C14010	Strep_C14010A0	WP_328841284.1	OHU10_RS46735	OHU10_RS46735	molybdate ABC transporter substrate-binding protein	GO:0015412;GO:0015689;GO:0030288;GO:0030973;GO:0055052	molybdate ion transport|0015689||IEA	ABC-type molybdate transporter activity|0015412||IEA|molybdate ion binding|0030973||IEA	outer membrane-bounded periplasmic space|0030288||IEA|ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|0055052||IEA
Strep_C14033	Strep_C14033A2	WP_003972097.1	SC_RS37460	SC_RS37460	undecaprenyl-diphosphate phosphatase	GO:0016020;GO:0016311;GO:0050380	dephosphorylation|0016311||IEA	undecaprenyl-diphosphatase activity|0050380||IEA	membrane|0016020||IEA
Strep_C14042	Strep_C14042A3	WP_003974264.1	SC_RS25685	SC_RS25685	50S ribosomal protein L2	GO:0003723;GO:0003735;GO:0006412;GO:0015934;GO:0016740	translation|0006412||IEA	RNA binding|0003723||IEA|structural constituent of ribosome|0003735||IEA|transferase activity|0016740||IEA	large ribosomal subunit|0015934||IEA
Strep_C14043	Strep_C14043A3	WP_003973385.1	SC_RS30350	SC_RS30350	translation elongation factor Ts	GO:0003746;GO:0006414	translational elongation|0006414||IEA	translation elongation factor activity|0003746||IEA	
Strep_C14049	Strep_C14049A0	WP_328836222.1	OHU10_RS11650	OHU10_RS11650	aldo/keto reductase	GO:0016491		oxidoreductase activity|0016491||IEA	
Strep_C14050	Strep_C14050A0	WP_328837185.1	OHU10_RS18725	OHU10_RS18725	hypothetical protein				
Strep_C14051	Strep_C14051A0	WP_328837418.1	OHU10_RS20520	OHU10_RS20520	type I methionyl aminopeptidase	GO:0006508;GO:0070006	proteolysis|0006508||IEA	metalloaminopeptidase activity|0070006||IEA	
Strep_C14052	Strep_C14052A2	WP_003974366.1	SC_RS25060	SC_RS25060	HAD family hydrolase	GO:0016787		hydrolase activity|0016787||IEA	
Strep_C14053	Strep_C14053A0	WP_328837527.1	OHU10_RS21355	OHU10_RS21355	C40 family peptidase	GO:0000270;GO:0006508;GO:0008233;GO:0008234;GO:0016787	peptidoglycan metabolic process|0000270||IEA|proteolysis|0006508||IEA	peptidase activity|0008233||IEA|cysteine-type peptidase activity|0008234||IEA|hydrolase activity|0016787||IEA	
Strep_C14057	Strep_C14057A3	WP_016325235.1	SC_RS05565	SC_RS05565	ATP-grasp domain-containing protein				
Strep_C14110	Strep_C14110A3	WP_003974056.1	SC_RS26745	SC_RS26745	purine-nucleoside phosphorylase	GO:0004731;GO:0006139	nucleobase-containing compound metabolic process|0006139||IEA	purine-nucleoside phosphorylase activity|0004731||IEA	
Strep_C14120	Strep_C14120A0	WP_037703970.1	OHU10_RS11960	OHU10_RS11960	M55 family metallopeptidase				
Strep_C14131	Strep_C14131A3	WP_003973399.1	SC_RS30190	SC_RS30190	tRNA (guanosine(37)-N1)-methyltransferase TrmD	GO:0008033;GO:0052906	tRNA processing|0008033||IEA	tRNA (guanine(37)-N1)-methyltransferase activity|0052906||IEA	
Strep_C14134	Strep_C14134A0	WP_328838511.1	OHU10_RS28185	OHU10_RS28185	TIGR03084 family metal-binding protein	GO:0046872		metal ion binding|0046872||IEA	
Strep_C14136	Strep_C14136A3	WP_003976892.1	SC_RS11670	SC_RS11670	AAC(3) family N-acetyltransferase	GO:0034069;GO:0046677	response to antibiotic|0046677||IEA	aminoglycoside N-acetyltransferase activity|0034069||IEA	
Strep_C14152	Strep_C14152A3	WP_003976247.1	SC_RS14835	SC_RS14835	DUF3097 domain-containing protein				
Strep_C14204	Strep_C14204A3	WP_003973423.1	SC_RS30075	SC_RS30075	ribonuclease III	GO:0003723;GO:0004525;GO:0006364;GO:0006396	rRNA processing|0006364||IEA|RNA processing|0006396||IEA	RNA binding|0003723||IEA|ribonuclease III activity|0004525||IEA	
Strep_C14215	Strep_C14215A3	WP_003976622.1	SC_RS13000	SC_RS13000	lipoyl(octanoyl) transferase LipB	GO:0009249;GO:0033819	protein lipoylation|0009249||IEA	lipoyl(octanoyl) transferase activity|0033819||IEA	
Strep_C14232	Strep_C14232A0	WP_328839448.1	OHU10_RS34470	OHU10_RS34470	EI24 domain-containing protein				
